track_name,artist_name,album_name,genre,release_date,duration_ms,track_price,currency,country,preview_url,artwork_url
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Hip Hop Lofi,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a7/c4/58/a7c458ac-2d01-18c2-b49a-50ca0dcbb629/mzaf_5116250996863212221.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/77/27/e8/7727e8ba-26a6-fd86-0c8a-b39b976c9e47/5060781122433.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Chillout Lofi Beats,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/05/e0/b0/05e0b064-a19c-3bd6-9adf-6ab0dce0d32e/mzaf_3786966409397527413.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/11/90/91/1190914b-463e-6ebe-4efd-1c1121826884/5060781122396.png/100x100bb.jpg
Lofi Study (Instrumental),"Lofi Hip-Hop Beats, Beats De Rap & Lo-Fi Beats",Lofi Hip Hop Chill Study Beats,Hip-Hop/Rap,2021-06-01T12:00:00Z,82077,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/61/bb/b5/61bbb54b-97c0-c6fd-6293-4bb6192d575c/mzaf_13163326433204756317.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/93/3e/fd/933efd96-98eb-bd6f-321e-cfd3322ca007/18900.jpg/100x100bb.jpg
Lofi Study,Lofi Hip-Hop Chillout Beats,Lo-Fi Chill Wave Beats to Study and Relax,New Age,2022-01-25T12:00:00Z,228000,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ca/53/ff/ca53ff36-d39a-5e70-009e-f92e604330b1/mzaf_11943798523636553288.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/b8/ea/24/b8ea2458-d8c7-9851-b70e-0e9a1f1ed5cd/5904195519437.jpg/100x100bb.jpg
Lofi Study,Sad Music,Lofi HipHop Beats To Sleep and Study To - Lofi Radio 247,Hip-Hop/Rap,2021-12-05T12:00:00Z,63496,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/3f/3d/74/3f3d747f-a66b-23bf-6ccf-51ffc32e2ff3/mzaf_317638574289353308.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/77/35/a4/7735a4e8-0e03-600d-a175-d1a82b19a979/24343.jpg/100x100bb.jpg
LoFi Study,Anime Lofi & Lofi Music Lounge,LoFi Study,Hip-Hop/Rap,2022-09-15T12:00:00Z,182857,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/b7/b8/ef/b7b8ef53-1a3f-64c1-7a4a-2dc8a91bdcee/mzaf_10320235292480220488.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/7d/41/84/7d41846c-0a9c-ad16-3a73-bfd81cac85a0/cover.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Chill Vibes,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/78/88/99/78889925-7d90-c60a-9cc2-36fa465893f4/mzaf_14302715083220556532.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7e/77/b8/7e77b8df-8596-bcb7-7015-60d8bf41a810/5060781121597.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Hip - Hop,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview114/v4/4e/37/3d/4e373d9e-3b4b-dfb3-8b13-b339117fc9a8/mzaf_18273095864300997837.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/74/ff/a5/74ffa554-83b8-97a8-7484-86e38aeb34b2/5060781121566.png/100x100bb.jpg
Lofi Study,Sad Music,Chill Sleep Music - Lofi HipHop Beats To Relax To,Hip-Hop/Rap,2021-09-05T12:00:00Z,81818,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/04/00/b5/0400b53a-5e88-1e1b-1ff1-ba063a86fb94/mzaf_11714344976541003193.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/4d/86/a9/4d86a933-da98-1c7a-10b6-7e8105f03dcd/20581.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Instrumentals,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c4/4e/d4/c44ed4e2-4461-36ff-13b8-8f627392ff7f/mzaf_9459852195309801694.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/88/ad/08/88ad084c-4f56-70f6-527b-1acb14b77534/5060781121603.png/100x100bb.jpg
