video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes
hNIwI-gNWn8,En Çok Dinlenen 11 Türkü 🎶 | AI Remix Psychedelic Anatolian Folk Rock Mix,Celil Durul Dursun,2026-05-06T07:20:28Z,https://www.youtube.com/watch?v=hNIwI-gNWn8,329822,1930,410,yapay zeka Türkçe şarkı,"Bu videoda, en çok dinlenen ve gönüllere dokunan 11 türküyü yapay zeka ile yeniden yorumladım. Elektro bağlama dokunuşla",,,,,,,,
BdyUm7SDqrc,İÇİMDE ÖLEN BİRİ (AHMET KAYA ROCK COVER),TRock Sounds - Topic,2026-04-29T10:03:06Z,https://www.youtube.com/watch?v=BdyUm7SDqrc,369757,1920,28,yapay zeka Türkçe şarkı,Provided to YouTube by DistroKid İÇİMDE ÖLEN BİRİ (AHMET KAYA ROCK COVER) · TRock Sounds · YAPAY ZEKA · SUNO YAPAY ZEKA,,,,,,,,
hQfhk3VH8tE,En Çok Dinlenen Şarkılar \ Türkçe Pop Remix Şarkılar 2025 HiTs 2025,Rafis Ceferzade,2025-06-19T14:00:06Z,https://www.youtube.com/watch?v=hQfhk3VH8tE,6004445,14351,199,Turkish pop music,Instagram : https://www.instagram.com/rafisceferzade/ Facebook ; https://az-az.facebook.com/RafisCeferzade/ TikTok : htt,,,,,,,,
Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,2017-09-20T09:00:04Z,https://www.youtube.com/watch?v=Tb-zjsEqr1k,207359484,403242,13263,Turkish pop music,"Tuğba Yurt'un, DMC etiketiyle yayınlanan ""İnceden İnceden"" isimli tekli çalışması, video klibiyle netd müzik'te. Söz: Du",,,,,,,,
GR6r-jIryH0,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video),Poll Production,2025-07-30T16:30:07Z,https://www.youtube.com/watch?v=GR6r-jIryH0,60035427,120570,3138,Turkish pop music,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video) Abone OL( Subscribe): http://bit.ly/28R8iGZ Spotify: https://bit,,,,,,,,
_NoTqg152B0,"Sefo, Demet Akalın - Yerinde Dur (Official Video)",Sefo,2025-06-26T21:00:07Z,https://www.youtube.com/watch?v=_NoTqg152B0,312642189,751003,42243,Turkish pop music,Official Video by Sefo & Demet Akalın performing Yerinde Dur (C) 2025 3TR6AP2 exclusive licensed to Sony Music Turkey Sö,,,,,,,,
rYJjgfCfBOU,Sezen Aksu - Ey Aşk [Official Audio],Sezen Aksu,2025-06-26T21:01:03Z,https://www.youtube.com/watch?v=rYJjgfCfBOU,87698273,162081,7707,Turkish pop music,"Sezen Aksu - ""Paşa Gönül Şarkıları"" albümünü tüm platformlarda dinleyin: https://SezenAksu.lnk.to/PasaGonulSarkilari - S",,,,,,,,
YqNqw4o-JBY,Emrah Karaduman feat. Murat Dalkılıç - Kırk Yılda Bir Gibisin,netd müzik,2015-06-18T09:52:57Z,https://www.youtube.com/watch?v=YqNqw4o-JBY,259059861,607371,17898,Turkish pop music,"Emrah Karaduman'ın, DMC etiketiyle yayınlanan ""Toz Duman"" albümünde yer alan ve Murat Dalkılıç'ın seslendirdiği ""Kırk Yı",,,,,,,,
IcXsGn_iFUA,Türkçe Pop Müzik 2025 Mix 🎶 En Çok Dinlenen Pop Müzik 2024 ️️🎧 En Güzel Şarkılar 2025 🔊,Best Club Remix,2025-02-12T05:30:06Z,https://www.youtube.com/watch?v=IcXsGn_iFUA,2318040,4628,85,Turkish pop music,Türkçe Pop Müzik 2025 Mix 🎶 En Çok Dinlenen Pop Müzik 2024 ️️🎧 En Güzel Şarkılar 2025 🔊 #türkçepopremix #popşarkılar #re,,,,,,,,
icZ-OlVSvb4,Gülşen - Bangır Bangır,netd müzik,2015-04-28T17:48:30Z,https://www.youtube.com/watch?v=icZ-OlVSvb4,510019513,1238978,63491,Turkish pop music,"Gülşen'in, DMC etiketiyle yayınlanan ""Bangır Bangır"" albümünde yer alan ""Bangır Bangır"" isimli şarkısı, video klibiyle n",,,,,,,,
d6sIjUzQ0s0,🔥 Türkçe Pop 2026 | En Yeni EDM Dance Mix | Best Turkish Pop Hits,MoodWave,2026-01-09T12:01:18Z,https://www.youtube.com/watch?v=d6sIjUzQ0s0,3318,19,2,Turkish pop music,"🔥 Türkçe Pop Müzik 2026 | En Yeni EDM Dance Şarkıları | Best Turkish Pop 2026 Mix Hoş geldiniz! Bu video, 2026’in en çok",,,,,,,,
rSbQfaLCLtw,En İyi 2000'ler Türkçe Pop Şarkıları,AlparslanDakes,2024-04-06T14:15:15Z,https://www.youtube.com/watch?v=rSbQfaLCLtw,554947,1546,0,Turkish pop music,🔔 Kanalımıza abone olmak için tıklayınız! ⇙ Subscribe! https://www.youtube.com/channel/UCh4cc1YwTVZoE6NrRlK826w 🔔 Yeni ç,,,,,,,,
9oZIOfx87Ww,Bulut Gelir (Türkiye) | Ethno Catalonia 2023,Ethno Catalonia,2024-04-26T15:16:59Z,https://www.youtube.com/watch?v=9oZIOfx87Ww,2675152,27985,1346,Turkish folk song,Title: Bulut Gelir Performed by: EthnoCatalonia Orchestra Composer: Traditional (Türkiye) Main singer: Ceren Kaçar Main,,,,,,,,
mbY17Lr_wu4,Folk music from Turkey - Üsküdara,Arany Zoltán,2009-06-04T09:49:02Z,https://www.youtube.com/watch?v=mbY17Lr_wu4,1026575,11453,747,Turkish folk song,#turkish #folkmusic #aranyzoltan https://www.facebook.com/Arany-Zolt%C3%A1n-Music-274856225999515/ http://aranyzoltan.hu,,,,,,,,
ih9nX3KZVfU,"""Ceddin Deden"" - Traditional Turkish March [Lyrics]",blinmaster1945,2023-02-16T18:26:33Z,https://www.youtube.com/watch?v=ih9nX3KZVfU,578586,8112,611,Turkish folk song,"Ceddin Deden' is a popular and well-known Turkish and Ottoman march. We stand with Türkiye and Syria, all our prayers a",,,,,,,,
Z4fKe_EGw7k,ER TURAN / TÜRKÇE,TURAN ethno-folk ensemble,2021-02-23T18:00:14Z,https://www.youtube.com/watch?v=Z4fKe_EGw7k,28099697,283205,16621,Turkish folk song,"""ТҰРАН"" ансамблінің Түркі әлемінің ұранына айналған әйгілі ""ERTURAN"" композициясы түрік тілінде... Авторы:Тұран Сөзі: И.",,,,,,,,
cQKR_bcE2ug,Julia Kotova - Hey Gidi Dünya Hey - Turkish folk music,Julia Kotova,2022-09-27T10:21:35Z,https://www.youtube.com/watch?v=cQKR_bcE2ug,84934,1499,70,Turkish folk song,"Turkish folk song, folk music",,,,,,,,
IQWkS1GyFRM,Cengiz Özkan - Bir Ay Doğar İlk Akşamdan Geceden I Ah İstanbul © 2000 Kalan Müzik,Kalan Müzik,2013-10-28T16:35:20Z,https://www.youtube.com/watch?v=IQWkS1GyFRM,112147974,289842,5707,Turkish folk song,▶Şarkıyı Playlist'e Kaydetmek İçin: https://orcd.co/cengizozkanahistanbul Cengiz Özkan'ın tüm şarkıları burada: https://,,,,,,,,
CnyLI7pl9Ys,Turkey's Most Stereotypical Music,Victor Lopez,2021-06-15T20:21:22Z,https://www.youtube.com/watch?v=CnyLI7pl9Ys,639464,20207,1928,Turkish folk song,"Traditional Turkish Music. 🇹🇷 Remix made with REAPER, ""instrumental"" version of a song from the movie Gegen die Wand Ori",,,,,,,,
Ld0Q3RlDqQs,Turkish Folk Dances - HORON,Halk Eğitim Merkezi Yalova,2013-07-25T13:32:56Z,https://www.youtube.com/watch?v=Ld0Q3RlDqQs,3275261,26074,3130,Turkish folk song,Turkish Folk Dances - HORON,,,,,,,,
JIdHMjicLLQ,🎵 DİLDEN DİLE HAREKETLİ TÜRKÜLER | 🌾 Anadolu'nun En Kıpır Kıpır Ezgileri,TÜRKÜDEN ARABESKE,2026-07-10T07:00:31Z,https://www.youtube.com/watch?v=JIdHMjicLLQ,7793,44,0,Turkish folk song,"Anadolu'nun dört bir yanından gelen neşeli ezgilerle dolu bu özel seçkide, hareketli türkülerin en sevilen örnekleri siz",,,,,,,,
59gBtWq9Pb8,Turkish traditional dance video #turkishdance #shortsvideo #traditional #shorts #khandakohat #viral,Khan da Kohat,2023-11-02T15:18:22Z,https://www.youtube.com/watch?v=59gBtWq9Pb8,3426412,33140,750,Turkish folk song,,,,,,,,,
